,título,título_original,año,duración,país,dirección,guion,reparto,productora,género,sinopsis,premios,puntuación_fa,votos_fa,puntuación_positiva,puntuación_neutral,puntuación_negativa,portada_url,portada_local,puntuación_imdb,votos_imdb
282,La reina de África,The African Queen,1951,106 min.,Estados Unidos,John Huston,"James Agee, John Huston (Novela: C.S. Forester)","Humphrey Bogart, Katharine Hepburn, Robert Morley, Peter Bull, Theodore Bikel, Walter Gotell, Peter Swanwick, Richard Marner","Co-production Estados Unidos-Reino Unido; Horizon Pictures, Romulus (Productor: Sam Spiegel) (Distribuidora: United Artists)",Aventuras. Romance | I Guerra Mundial. África. Supervivencia,"Al estallar la Primera Guerra Mundial (1914-1918), Charlie Allnut (Bogart), un rudo capitán de barco con tendencia a la bebida, y Rose Sayer (Hepburn), una estirada y puritana misionera, huyen de las tropas alemanas en una ruinosa embarcación, con la que deben remontar un peligroso río. Son, a primera vista, dos seres antagónicos, incompatibles, pero la convivencia y, sobre todo, las penalidades que tendrán que afrontar juntos para sobrevivir harán cambiar radicalmente su relación. (FILMAFFINITY)","['1951: Oscar: Mejor actor (Humphrey Bogart). 4 nominaciones', '1952: Premios BAFTA: Nominada a Mejor película y actor extranjero (Bogart)', '1952: Círculo de Críticos de Nueva York: 3 nominaciones, incluyendo mejor película']",7.9,32600,14,0,0,https://pics.filmaffinity.com/the_african_queen-472479695-mmed.jpg,../images/Lareinadefrica1951.jpg,7.7,72105
283,Cayo Largo,Key Largo,1948,100 min.,Estados Unidos,John Huston,"Richard Brooks, John Huston (Obra: Maxwell Anderson)","Humphrey Bogart, Edward G. Robinson, Lauren Bacall, Lionel Barrymore, Claire Trevor, Thomas Gomez, Harry Lewis, John Rodney, Marc Lawrence, Dan Seymour, Monte Blue, William Haade",Warner Bros.,Cine negro. Thriller | Crimen. Secuestros / Desapariciones,"Frank McCloud (Humphrey Bogart) es un veterano de guerra que viaja a Cayo Largo, en Florida, para visitar al padre (Lionel Barrymore) y a la viuda (Lauren Bacall) de un compañero muerto en combate. Pero su estancia se complica, ya que en su hotel se aloja también una banda de gángsters que, aprovechando una fuerte tormenta, los toman como rehenes. (FILMAFFINITY)","['1948: Oscar: Mejor actriz secundaria (Claire Trevor)', '1948: Sindicato de Guionistas (WGA): Nominada a Mejor guión drama']",7.9,18667,5,2,0,https://pics.filmaffinity.com/key_largo-712849095-mmed.jpg,../images/CayoLargo1948.jpg,7.8,37269
284,La leyenda del indomable,Cool Hand Luke,1967,126 min.,Estados Unidos,Stuart Rosenberg,"Donn Pearce, Frank Pierson (Novela: Donn Pearce)","Paul Newman, George Kennedy, Dennis Hopper, Harry Dean Stanton, Strother Martin, Lou Antonio, J.D. Cannon, Ralph Waite, Anthony Zerbe, Joe Don Baker, Wayne Rogers, Jo Van Fleet","Warner Bros., Seven Arts Pictures",Drama | Drama carcelario,"Luke Jackson, un joven rebelde e impulsivo, es condenado a dos años de prisión tras causar graves destrozos estando borracho. En la cárcel, su indomable carácter chocará de frente con las rígidas normas de la institución, así como con el de otros presos, especialmente el brutal Dragline, que era el líder de los convictos hasta su llegada. Pero Luke es un veterano de guerra que no está dispuesto a ceder, y tendrá que pagar un alto precio por seguir siendo quien es. (FILMAFFINITY)","['1967: Oscar: Mejor actor secundario (Kennedy). 4 nominaciones', '1967: 2 Nom. Globos de Oro: Actor - Drama (Newman) y actor sec. (Kennedy)', '1967: Sindicato de Directores (DGA): Nominada a Mejor director']",7.9,18451,9,1,0,https://pics.filmaffinity.com/cool_hand_luke-888201767-mmed.jpg,../images/Laleyendadelindomable1967.jpg,8.1,163687
285,Fanny y Alexander,Fanny och Alexander (Fanny and Alexander),1982,197 min.,Suecia,Ingmar Bergman,Ingmar Bergman,"Bertil Guve, Pernilla Allwin, Gunn Wållgren, Ewa Fröling, Jarl Kulle, Erland Josephson, Allan Edwall, Börje Ahlstedt, Mona Malm, Gunnar Björnstrand, Jan Malmsjö, Mats Bergman, Lena Olin, Peter Stormare","Co-production Suecia-Francia-Alemania; Svenska Filminstitutet, SVT, Personafilm, Gaumont",Drama | Años 1900 (circa). Infancia. Familia. Religión,"La historia está ambientada en 1907, en Uppsala, Suecia, y se centra en los Ekdahls, la familia del joven Alexander y su hermana Fanny. Los padres se dedican al teatro y son felices, hasta que el padre muere de forma repentina. Al poco tiempo, la madre decide casarse con un líder religioso conservador, una decisión que cambiará sus vidas. (FILMAFFINITY)","['1983: 4 Oscars: Película extranjera, fotografía, dirección artística, vestuario. 6 nominaciones', '1983: Globos de oro: Mejor película extranjera. 2 nominaciones', '1983: Premios Guldbagge (Suecia): Mejor película, director y Actor (Jarl Kulle)', '1983: Premios BAFTA: Mejor fotografía. 3 nominaciones', '1983: Círculo de Críticos de Nueva York: Mejor director y película extranjera. 3 nom.', '1983: Asociación de Críticos de Los Angeles: Mejor fotografía y película extranjera', '1983: Sindicato de Directores (DGA): Nominada a Mejor director', '1983: Festival de Venecia: FIPRESCI', '1983: 3 Premios David di Donatello, incluyendo mejor film extranjero. 4 nominaciones', '1983: Premios César: Mejor película extranjera']",7.9,16803,10,0,0,https://pics.filmaffinity.com/fanny_och_alexander_fanny_and_alexander-301325125-mmed.jpg,../images/FannyyAlexander1982.jpg,8.1,58214
286,Sucedió una noche,It Happened One Night,1934,105 min.,Estados Unidos,Frank Capra,Robert Riskin (Historia: Samuel Hopkins Adams),"Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns, Jameson Thomas, Ward Bond, Eddy Chandler, Arthur Hoyt, Alan Hale",Columbia Pictures,Romance. Comedia | Comedia screwball. Comedia romántica. Road Movie,"Ellie Andrews, una joven y caprichosa heredera, consigue escapar del yate de su padre, que la había encerrado para evitar su boda con un hombre poco recomendable. En el autobús que coge, con destino a Nueva York, conoce a Peter Warne, un simpático y atractivo reportero, que busca una buena historia. El azar y las circunstancias unirán a Ellie y a Peter en un accidentado y divertido viaje. (FILMAFFINITY)","['1934: 5 Oscars: Película, director, actor (Gable), actriz (Colbert) y guión adaptado', '1934: National Board of Review: Mejor película', '1934: Festival de Venecia: Sección oficial - Nominada a Copa Mussolini']",7.9,16313,14,0,0,https://pics.filmaffinity.com/it_happened_one_night-463534423-mmed.jpg,../images/Sucediunanoche1934.jpg,8.1,95147
287,"Kenshin, El Guerrero Samurái: Recuerdos",Rurouni Kenshin: Tsuiokuhen,1999,122 min.,Japón,Kazuhiro Furuhashi,Masashi Sogo (Manga: Nobuhiro Watsuki),Animación,"Studio DEEN, SPE Visual Works",Animación. Drama. Acción. Romance | Samuráis. Ninjas. Histórico. Siglo XIX. Japón feudal. Precuela. Manga. Animación para adultos,"En 1868, tras una sangrienta guerra civil, Japón abolió el shogunato (régimen feudal) y comenzó la Era Meijí, un periodo de occidentalización y progreso. El principal artífice de la victoria del bando reformista fue un joven e implacable asesino conocido como Hitokiri Battosai. Los únicos momentos de paz de Battosai, lejos de la política y de la guerra, los vivió en los brazos de Tomoe, una dulce muchacha a la que el destino lo había ligado trágicamente. Terminada la guerra, Battosai juró no volver a matar y se dedicó a vagar por el país: así nació la leyenda de Kenshin Himura, el último samurái. ¿Pero cuáles fueron los trágicos sucesos que lo llevaron a tomar esa decisión y lo marcaron de por vida? ¿Qué precio se tuvo que pagar por la nueva y brillante era Meiji? Película formada por cuatro OVAs de 30 minutos cada una, que narra el pasado de Kenshin. Existe otra OVA, denominada ""Rurouni Kenshin: Seisouhen"", que abarca los sucesos posteriores al anime. (FILMAFFINITY)",,7.9,5089,,,,https://pics.filmaffinity.com/rurouni_kenshin_tsuiokuhen-665164053-mmed.jpg,../images/KenshinElGuerreroSamuriRecuerdos1999.jpg,,
288,The Eternal Breasts,Chibusa yo eien nare (The Eternal Breasts),1955,110 min.,Japón,Kinuyo Tanaka,Sumie Tanaka,"Yumeji Tsukioka, Ryoji Hayama, Junkichi Orimoto, Hiroko Kawasaki, Shirô Ôsaka, Choko Iida, Masayuki Mori, Yôko Sugi, Kinuyo Tanaka, Bokuzen Hidari, Toru Abe",Nikkatsu,Drama | Enfermedad. Basado en hechos reales. Biográfico,"Basado en la vida de la poetisa tanka Fumiko Nakajo, la película cuenta la historia de una mujer de mentalidad moderna aquejada de un cáncer de mama. (FILMAFFINITY)",,7.9,231,,,,https://pics.filmaffinity.com/chibusa_yo_eien_nare_the_eternal_breasts-428659954-mmed.jpg,../images/TheEternalBreasts1955.jpg,7.4,126
289,Ana,Ana,1982,115 min.,Portugal,"Margarida Cordeiro, António Reis","Margarida Cordeiro, António Reis, Rainer Maria Rilke","Ana Maria Martins Guerra, Octávio Lixa Filgueiras, Mariana Margarido, Adelaide Ferreira, Manuel Ramalho Eanes, Aurora Alfonso",,Drama | Familia,"Ana es una combinación de la técnica documental con el surrealismo de ensueño y escenas de composición impresionista. Una joven muchacha portuguesa vive con su abuela, en una relación que relata la importancia del ciclo de la vida. (FILMAFFINITY)",['1982: Seminci: Espiga de Oro: Mejor película'],7.9,105,,,,https://pics.filmaffinity.com/ana-184692072-mmed.jpg,../images/Ana1982.jpg,7.2,113
290,Ben-Hur,Ben-Hur,1959,211 min.,Estados Unidos,William Wyler,Karl Tunberg (Novela: Lewis Wallace),"Charlton Heston, Jack Hawkins, Stephen Boyd, Haya Harareet, Hugh Griffith, Martha Scott, Cathy O'Donnell, Sam Jaffe, Frank Thring, Terence Longdon, George Relph, André Morell, Finlay Currie, John Le Mesurier",Metro-Goldwyn-Mayer (MGM),Aventuras. Drama | Cine épico. Antigua Roma. Esclavitud. Amistad. Religión. Venganza. Remake,"Antigua Roma, bajo el reinado de los emperadores Augusto y Tiberio (s. I d.C.). Judá Ben-Hur (Charlton Heston), hijo de una familia noble de Jerusalén, y Mesala (Stephen Boyd), tribuno romano que dirige los ejércitos de ocupación, son dos antiguos amigos, pero un accidente involuntario los convierte en enemigos irreconciliables: Ben-Hur es acusado de atentar contra la vida del nuevo gobernador romano, y Mesala lo encarcela a él y a su familia. Mientras Ben-Hur es trasladado a galeras para cumplir su condena, un hombre llamado Jesús de Nazaret se apiada de él y le da de beber. En galeras conocerá al comandante de la nave (Jack Hawkins) y más tarde a un jeque árabe (Hugh Griffith) que participa con sus magníficos caballos en carreras de cuadrigas. (FILMAFFINITY)","['1959: 11 Oscars, incluyendo película, director, actor (Heston) y actor sec. (Griffith)', '1959: 3 Globos de Oro, incluyendo Mejor película - Drama. 4 nominaciones', '1959: Premios BAFTA: Mejor película', '1960: Festival de Cannes: Sección oficial - Fuera de concurso', '1959: Sindicato de Directores (DGA): Mejor director', '1959: Sindicato de Guionistas (WGA): Nominada a Mejor guión drama', '1959: Círculo de Críticos de Nueva York: Mejor película. 3 nominaciones', '1959: National Board of Review: Top 10 mejores películas, actor sec. y mención especial', '1960: Premios David di Donatello: Mejor actor extranjero (Heston) y producción extran.']",7.9,65630,11,0,1,https://pics.filmaffinity.com/ben_hur-359300410-mmed.jpg,../images/BenHur1959.jpg,8.1,221621
291,Madame de...,Madame de...,1953,102 min.,Francia,Max Ophüls,"Max Ophüls, Marcel Achard, Annette Wademant (Novela: Louise de Vilmorin)","Danielle Darrieux, Charles Boyer, Vittorio De Sica, Jean Debucourt, Lia de Lea, Mireille Perrey, Jean Galland","Co-production Francia-Italia; Franco London Films, Indus-Rizzoli, Rizzoli Film",Drama | Siglo XIX. Drama romántico,"Urgida por la necesidad de dinero para cubrir sus cuantiosos gastos, una condesa vende unos pendientes que le regaló su marido, y a éste le dice que los ha extraviado. El joyero, indiscreto, le cuenta al conde lo sucedido, y le vende la joya que, tras distintos avatares, llegan a manos de un diplomático italiano. (FILMAFFINITY)",['1954: Nominada al Oscar: Mejor vestuario (Blanco & Negro)'],7.9,3238,11,0,0,https://pics.filmaffinity.com/madame_de-848791835-mmed.jpg,../images/Madamede1953.jpg,8.0,8978
292,"El doctor Mabuse (Dr. Mabuse, el jugador)","Dr. Mabuse, der Spieler",1922,272 min.,Alemania,Fritz Lang,"Thea von Harbou, Fritz Lang (Novela: Norbert Jacques)","Rudolf Klein-Rogge, Alfred Abel, Aud Egede Nissen, Bernhard Goetzke, Paul Richter, Gertrude Welcker",U.F.A,Thriller. Drama | Crimen. Policíaco. Expresionismo alemán. Cine mudo,"La primera versión cinematográfica del Dr. Mabuse consta de dos partes: “El gran jugador” y “El infierno”. El doctor Mabuse es un villano que no se siente atraído por los bienes materiales, sino por el placer que le proporciona jugar con el destino de los hombres. (FILMAFFINITY)",,7.9,2976,6,2,1,https://pics.filmaffinity.com/dr_mabuse_der_spieler-941120758-mmed.jpg,../images/EldoctorMabuseDrMabuseeljugador1922.jpg,7.9,7637
293,El sabor del sake,Sanma no aji,1962,112 min.,Japón,Yasujirō Ozu,"Kogo Noda, Yasujirō Ozu","Chishu Ryu, Shima Iwashita, Shinichiro Mikami, Keiji Sada, Mariko Okada, Nobuo Nakamura, Teruo Yoshida",Shôchiku,Drama | Familia,"Shubei Hirayama es un viudo que vive con una hija de veinticuatro años. Sintiéndose viejo y acabado, se da cuenta de lo injusto que es que la joven viva única y exclusivamente para cuidarlo y decide casarla. Aunque ella se resiste a abandonarlo, al final acabará haciéndolo. Entonces Shubei buscará en el licor del sake el refugio de la soledad, el consuelo a la angustia. (FILMAFFINITY)",,7.9,2730,10,0,0,https://pics.filmaffinity.com/sanma_no_aji-880824216-mmed.jpg,../images/Elsabordelsake1962.jpg,8.1,8077
294,El cameraman,The Cameraman,1928,69 min.,Estados Unidos,"Edward Sedgwick, Buster Keaton","Clyde Bruckman, Lew Lipton, Richard Schayer","Buster Keaton, Marceline Day, Harry Gribbon, Harold Goodwin, Sidney Bracey, Ray Cooke, William Irving, Bert Moorhouse, Vernon Dent, Richard Alexander",Metro-Goldwyn-Mayer (MGM),Comedia. Drama | Cine mudo,"Enamorado de una oficinista que trabaja en MGM Studios, un torpe hombre intenta convertirse en camarógrafo para estar cerca de su objeto de deseo. (FILMAFFINITY)",,7.9,2597,5,0,0,https://pics.filmaffinity.com/the_cameraman-293846845-mmed.jpg,../images/Elcameraman1928.jpg,8.1,10765
295,Cuando pasan las cigüeñas,Letyat zhuravli (The Cranes are Flying),1957,94 min.,Unión Soviética (URSS),Mikhail Kalatozov,Viktor Rozov (Obra: Viktor Rozov),"Tatyana Samojlova, Aleksey Batalov, Vasiliy Merkurev, Aleksandr Shvorin, Svetlana Kharitonova, Konstantin Nikitin, Valentin Zubkov, Antonina Bogdanova, Boris Kokovkin",Mosfilm,Romance. Drama | Drama romántico. II Guerra Mundial,"Veronica y Boris son dos enamorados moscovitas que se ven obligados a separarse cuando estalla la Segunda Guerra Mundial, y Boris es reclutado para ir al frente. (FILMAFFINITY)","['1958: Festival de Cannes: Palma de Oro', '1958: Premios BAFTA: Nominada a mejor película y actriz extranjera (Samoylova)']",7.9,2420,4,1,0,https://pics.filmaffinity.com/letyat_zhuravli_the_cranes_are_flying-652666242-mmed.jpg,../images/Cuandopasanlascigeas1957.jpg,8.3,15361
296,The Office: The Christmas Special (TV),The Office: The Christmas Special (TV),2003,100 min.,Reino Unido,"Ricky Gervais, Stephen Merchant","Ricky Gervais, Stephen Merchant","Ricky Gervais, Martin Freeman, Mackenzie Crook, Lucy Davis, Patrick Baladi, Elizabeth Berrington, Ralph Ineson, Joel Beckett, Ewen MacIntosh, Steve Brody, Howard Brown, Greg Burns, Alec Christie, Paul 'Bubble' Ferguson, Mike McClean",BBC,Comedia. Drama | Comedia negra. Falso documental. Secuela. Trabajo/empleo. Telefilm,"Especial televisivo, emitido en dos partes, a forma de cierre de la serie ""The Office"". Tres años después de la primera llegada del equipo de filmación, es momento de una última visita a la oficina y a la vida de sus empleados. (FILMAFFINITY)","['2005: Emmy: Nominada a mejor telefilm y guión', '2003: 2 Premios BAFTA TV: Mejor sitcom e interpretación de comedia (Gervais). 3 nom.']",7.9,1403,,,,https://pics.filmaffinity.com/the_office_the_christmas_special_tv_tv-547493831-mmed.jpg,../images/TheOfficeTheChristmasSpecialTV2003.jpg,,
297,Vacaciones en Roma,Roman Holiday,1953,118 min.,Estados Unidos,William Wyler,"Ian McLellan Hunter, John Dighton, Dalton Trumbo (Historia: Dalton Trumbo)","Gregory Peck, Audrey Hepburn, Eddie Albert, Hartley Power, Harcourt Williams, Margaret Rawlings, Tullio Carminati, Paolo Carlini, Claudio Ermelli, Paola Borboni, Alfredo Rizzo, Laura Solari, Gorella Gori, Heinz Hindrich, John Horne, Andrea Esterhazy, Ugo De Pascale",Paramount Pictures,Comedia. Romance | Comedia romántica. Periodismo,"Durante una visita a Roma, Ana, la joven princesa de un pequeño país centroeuropeo, trata de eludir el protocolo y las obligaciones que implica, escapándose de palacio para visitar la ciudad de incógnito. Así conoce a Joe, un periodista americano que busca una exclusiva y finge desconocer la identidad de la princesa. La pareja vivirá unas jornadas inolvidables recorriendo la ciudad. (FILMAFFINITY)","['1953: 3 Oscars: Mejor actriz (Hepburn), argumento original y vestuario. 10 nominaciones', '1953: Globos de Oro: Mejor actriz drama (Audrey Hepburn)', '1953: Premios BAFTA: Mejor actriz británica (Audrey Hepburn). 4 nominaciones', '1953: Círculo de Críticos de Nueva York: Mejor actriz (Hepburn). 2 nominaciones', '1953: Sindicato de Directores (DGA): Nominada a Mejor director', '1953: Sindicato de Guionistas (WGA): Mejor guión comedia', '1953: National Board of Review: Top 10 Mejores películas']",7.9,32709,11,1,0,https://pics.filmaffinity.com/roman_holiday-386424797-mmed.jpg,../images/VacacionesenRoma1953.jpg,8.0,128465
